37.1397593,36.22074855,yes,
37.1392231,36.22038105,yes,
37.1372433,36.2206993,yes,
37.1366927,36.22120675,yes,
37.1276339189,36.24203075,yes,
37.1172224541,36.21959965,yes,خزانة تقاعد الاطباء
37.107158978,36.1963218,mosque,مسجد السيدة نفيسة
37.1114224822,36.2007274,yes,جامع عبد الله بن العباس
37.1086989132,36.19162555,yes,
37.1042022741,36.19363805,yes,
37.0933349884,36.185543,yes,(الفرقان) عبدالعزيز شياح واولاده
36.9940431504,36.1288632,yes,
36.99854315,36.13000155,yes,
36.98898795,36.13179765,yes,
36.99395035,36.1286388,yes,
37.00238735,36.12814535,yes,
36.9984503,36.12977715,yes,
36.9938864,36.12838755,yes,
36.9892375409,36.1324977,yes,
37.0022945094,36.12792095,yes,
36.99838635,36.12952595,yes,
36.99379355,36.12816315,yes,
36.9891447591,36.1322733,yes,
36.9982935,36.12930155,yes,
36.9890807906,36.13202205,yes,
37.0024513,36.12839655,yes,
37.00254415,36.12862095,yes,
37.278516503,36.16931475,hangar,
37.2626210998,36.1775567,yes,
37.26191285,36.1775616,yes,
37.26237685,36.1775665,yes,
37.1044139233,36.19001405,yes,
37.1046208,36.19016515,yes,
37.1045699568,36.1897527,roof,
37.2192277147,36.2737357,yes,
37.2039771209,36.3183652,yes,
37.219955,36.2747916,yes,
37.21999675,36.2749148,yes,
37.21932705,36.2743111,yes,
37.2046002292,36.3181633,yes,
37.2002181615,36.20433735,yes,جامع أبو عبيدة بن الجراح
37.139692979,36.1592968,roof,
37.1964802518,36.20458325,yes,جامع عمر المختار
37.19237515,36.16274385,yes,
37.1406991266,36.14540625,yes,
37.1399563172,36.1585291,yes,
37.13921595,36.15967655,roof,
37.14035345,36.14450235,yes,
37.0231806257,36.10958815,yes,
37.0212962,36.10959395,yes,
37.230605,36.1842434,yes,
37.2434833147,36.17653995,bunker,
37.24606175,36.17374215,yes,
37.2449168973,36.1842728,yes,
37.18355475,36.1997601,yes,جامع الأنوار المحمدية
37.1778857,36.19740225,yes,
37.1767887985,36.2002261,yes,فرن الذرة
37.2839478,36.1571201,yes,
37.0293760544,36.14981915,yes,
37.2681907492,36.19636275,yes,
37.2675119,36.1986298,yes,
37.2681846992,36.19675365,yes,
37.2675189747,36.1984876,yes,
37.2680316693,36.1985392,yes,
37.2686533292,36.19869385,yes,
37.2683448193,36.1985441,yes,
37.268493706,36.19869385,yes,
37.2686599693,36.1985539,yes,
37.2680249967,36.19867915,yes,
37.2681892424,36.1985441,yes,
37.267860156,36.19867375,yes,
37.2685003693,36.1985539,yes,
37.2678668193,36.1985338,yes,
37.2683381669,36.19868405,yes,
37.2681825669,36.19868405,yes,
37.27958125,36.2621579,yes,
37.1607733665,36.19002785,yes,
37.1685210148,36.187502,mosque,زيد بن الحارث
37.1562597605,36.18899305,yes,
37.1707607488,36.19054175,yes,
37.1600442991,36.1895235,yes,
37.1595032445,36.19003635,yes,
37.15947865,36.1878559,yes,
37.15995545,36.1900429,yes,
37.16020255,36.18088285,yes,
37.1599144399,36.18392615,yes,
37.1601083214,36.1847602,yes,
37.1578518759,36.1877626,yes,
37.1587956828,36.1877557,yes,
37.1598513808,36.1892229,yes,
37.1588505654,36.18554225,yes,كازية الصالحين
37.1599879132,36.1877365,yes,
37.1582977647,36.1854712,mosque,جامع عبد القادر جيلاني
37.1596071498,36.1888439,yes,
37.1595931267,36.17486345,yes,
37.1766634037,36.18278575,yes,
37.1741633226,36.1765046,yes,
37.1746270617,36.1882518,yes,
37.1763441047,36.1832414,yes,
