x,y,z,
36.19927,37.18848,0.446164,
36.19879,37.1885,-0.102054,
36.2002,37.1885,0.646223,
36.20032,37.1885,0.748739,
36.20047,37.1885,0.753239,
36.20058,37.1885,-0.369693,
36.20068,37.1885,0.335621,
36.20319,37.1885,1.677632,
36.20438,37.1885,1.533289,
36.19794,37.18851,-2.216795,
36.19896,37.18852,-0.314732,
36.20081,37.18852,0.818242,
36.2029,37.18852,-1.60519,
36.1981,37.18853,1.494054,
36.19909,37.18853,-0.565021,
36.1997,37.18853,-0.394164,
36.20117,37.18854,1.016041,
36.20096,37.18854,0.924178,
36.19822,37.18855,0.628512,
36.20452,37.18856,2.61402,
36.19841,37.18859,-0.895379,
36.20257,37.18859,1.895673,
36.19852,37.1886,-0.878472,
36.20464,37.1886,0.969572,
36.20413,37.18861,0.275001,
36.20309,37.18862,0.17548,
36.20275,37.18862,1.470399,
36.19794,37.18863,0.676801,
36.19997,37.18863,0.398163,
36.20529,37.18864,0.922282,
36.2052,37.18864,0.885578,
36.20387,37.18865,0.40919,
36.20483,37.18865,1.034598,
36.20491,37.18865,1.043371,
36.20637,37.18866,-1.238247,
36.1987,37.18868,2.57854,
36.19821,37.18872,2.8437,
36.20063,37.18873,0.111545,
36.20259,37.18873,0.773683,
36.19908,37.18874,-1.607644,
36.2005,37.18874,1.621561,
36.20326,37.18874,-0.957605,
36.20311,37.18875,-1.533882,
36.19978,37.18877,1.53768,
36.20409,37.18877,-1.983322,
36.19937,37.18878,0.158343,
36.20001,37.18878,2.074068,
36.1987,37.1888,4.861291,
36.19897,37.1888,0.657949,
36.20081,37.1888,1.214286,
36.19793,37.18881,-0.024519,
36.19821,37.18885,-0.728531,
36.20285,37.18885,-3.507459,
36.20262,37.18887,0.620834,
36.20343,37.18887,0.704799,
36.20382,37.18887,1.906727,
36.2023,37.18888,-0.171619,
36.19839,37.1889,0.510712,
36.19849,37.1889,2.993304,
36.19793,37.18892,-0.388586,
36.20403,37.18892,-2.058624,
36.20197,37.18895,0.23377,
36.20248,37.18895,1.058055,
36.19821,37.18897,0.481055,
36.19952,37.18897,0.940199,
36.19984,37.18897,0.158327,
36.2032,37.18898,0.43223,
36.20434,37.18899,-0.525502,
36.19838,37.189,0.680193,
36.19849,37.18903,0.124656,
36.20029,37.18903,0.472107,
36.20043,37.18903,0.264577,
36.20054,37.18904,0.46255,
36.20373,37.18904,1.111462,
36.20272,37.18904,-1.17981,
36.19906,37.18905,-1.005306,
36.20064,37.18905,0.567831,
36.20075,37.18905,0.965098,
36.19867,37.18908,0.813938,
36.20305,37.18908,1.076925,
36.20554,37.18908,-1.122957,
36.20506,37.1891,3.113146,
36.1982,37.18912,2.013466,
36.19935,37.18914,0.93126,
36.20031,37.18914,0.546687,
36.20333,37.18914,0.371711,
36.19848,37.18915,0.261521,
36.20397,37.18915,-0.133307,
36.19906,37.18916,-1.471401,
36.20063,37.18916,0.882718,
36.20047,37.18916,0.393967,
36.19808,37.18917,-0.032924,
36.20653,37.18924,3.365414,
36.19865,37.18925,1.033717,
36.19957,37.18925,0.187356,
36.19893,37.18926,0.880555,
36.20002,37.18926,-0.351485,
36.19835,37.18927,-0.189357,
36.19847,37.18927,-1.090635,
36.19906,37.18927,1.618836,
36.19935,37.18927,-0.150331,
